"Geo Code","Geo Name","Line Number"
"2021S0503932","Abbotsford - Mission",2
"2021A00055909052","Abbotsford",2633
"2021A00055909856","Langley 2",5264
"2021A00055909878","Matsqui Main 2",7895
"2021A00055909056","Mission",10526
"2021A00055909877","Upper Sumas 6",13157
"2021S0504410","Alma",15788
"2021A00052493042","Alma",18419
"2021S0504481","Amos",21050
"2021A00052488055","Amos",23681
"2021A00052488070","Berry",26312
"2021A00052488802","Pikogan",28943
"2021A00052488065","Saint-Dominique-du-Rosaire",31574
"2021A00052488060","Saint-Félix-de-Dalquier",34205
"2021A00052488040","Saint-Marc-de-Figuery",36836
"2021A00052488050","Saint-Mathieu-d'Harricana",39467
"2021A00052488085","Sainte-Gertrude-Manneville",42098
"2021A00052488075","Trécesson",44729
"2021S0504406","Baie-Comeau",47360
"2021A00052496020","Baie-Comeau",49991
"2021A00052496035","Chute-aux-Outardes",52622
"2021A00052496025","Pointe-Lebel",55253
"2021A00052496030","Pointe-aux-Outardes",57884
"2021A00052496040","Ragueneau",60515
"2021S0503568","Barrie",63146
"2021A00053543042","Barrie",65777
"2021A00053543017","Innisfil",68408
"2021A00053543009","Springwater",71039
"2021S0504328","Bathurst",73670
"2021A00051315008","Bathurst",76301
"2021A00051315011","Bathurst",78932
"2021A00051315012","Beresford",81563
"2021A00051315015","Beresford",84194
"2021A00051315037","Nigadoo",86825
"2021A00051315010","Pabineau 11",89456
"2021A00051315014","Petit-Rocher",92087
"2021A00051315013","Pointe-Verte",94718
"2021S0503522","Belleville - Quinte West",97349
"2021A00053512005","Belleville",99980
"2021A00053512015","Quinte West",102611
"2021A00053512020","Stirling-Rawdon",105242
"2021A00053512001","Tyendinaga",107873
"2021S0504610","Brandon",110504
"2021A00054607062","Brandon",113135
"2021A00054607071","Elton",115766
"2021A00054607072","Waywayseecappo Highway 10",118397
"2021A00054607057","Whitehead",121028
"2021S0503543","Brantford",123659
"2021A00053529005","Brant",126290
"2021A00053529006","Brantford",128921
"2021A00053529020","Six Nations (Part) 40",131552
"2021S0504512","Brockville",134183
"2021A00053507015","Brockville",136814
"2021A00053507014","Elizabethtown-Kitley",139445
"2021S0504806","Brooks",142076
"2021A00054802034","Brooks",144707
"2021S0503825","Calgary",147338
"2021A00054806021","Airdrie",149969
"2021A00054806024","Beiseker",152600
"2021A00054806016","Calgary",155231
"2021A00054806017","Chestermere",157862
"2021A00054806019","Cochrane",160493
"2021A00054806026","Crossfield",163124
"2021A00054806022","Irricana",165755
"2021A00054806014","Rocky View County",168386
"2021A00054806804","Tsuu T'ina Nation 145",171017
"2021S0504944","Campbell River",173648
"2021A00055924034","Campbell River",176279
"2021A00055924804","Campbell River 11",178910
"2021A00055924840","Homalco 9",181541
"2021A00055924843","Nenagwas 12",184172
"2021A00055924812","Quinsam 12",186803
"2021A00055924042","Strathcona D (Oyster Bay - Buttle Lake)",189434
"2021S0504330","Campbellton",192065
"2021A00051314012","Addington",194696
"2021A00051314013","Atholville",197327
"2021A00051314014","Campbellton",199958
"2021A00052406804","Listuguj",202589
"2021A00052406030","Pointe-à-la-Croix",205220
"2021A00051314015","Tide Head",207851
"2021S0504833","Camrose",210482
"2021A00054810011","Camrose",213113
"2021S0504828","Canmore",215744
"2021A00054815023","Canmore",218375
"2021S0504225","Cape Breton",221006
"2021A00051217030","Cape Breton",223637
"2021A00051217020","Eskasoni 3",226268
"2021A00051217008","Membertou 28B",228899
"2021S0504531","Centre Wellington",231530
"2021A00053523025","Centre Wellington",234161
"2021S0504105","Charlottetown",236792
"2021A00051102055","Brackley",239423
"2021A00051102075","Charlottetown",242054
"2021A00051102037","Clyde River",244685
"2021A00051102085","Cornwall",247316
"2021A00051102010","Crossroads",249947
"2021A00051102064","East River, Part 1",252578
"2021A00051101052","East River, Part 2",255209
"2021A00051102043","Hunter River",257840
"2021A00051102015","Johnstons River",260471
"2021A00051102022","Kingston",263102
