GEO_NAME,15 to 24 years,25 to 44 years,45 years and over,5 to 14 years,Under 5 years
Alberta,175855.0,450070.0,90845.0,169075.0,85135.0
British Columbia,275435.0,639200.0,166605.0,226910.0,117555.0
Canada,1594290.0,3783335.0,797180.0,1438440.0,748265.0
Manitoba,45575.0,113910.0,20710.0,50695.0,26725.0
New Brunswick,6485.0,19090.0,3705.0,9190.0,5660.0
Newfoundland and Labrador,2335.0,6640.0,1110.0,2470.0,1700.0
Northwest Territories,890.0,1870.0,370.0,660.0,355.0
Nova Scotia,10940.0,32955.0,6095.0,13180.0,8390.0
Nunavut,180.0,605.0,105.0,175.0,100.0
Ontario,840165.0,1851675.0,404670.0,734680.0,375395.0
Prince Edward Island,1905.0,4900.0,1405.0,2420.0,1130.0
Quebec,213035.0,594845.0,89045.0,201385.0,112295.0
Saskatchewan,20460.0,64955.0,12070.0,26755.0,13370.0
Yukon,1030.0,2610.0,445.0,840.0,455.0
