GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
Alberta,291056.0,3141915.0,64830.0
British Columbia,402062.0,3319230.0,171000.0
Canada,2397197.0,27042120.0,924850.0
Manitoba,78251.0,1015280.0,34290.0
New Brunswick,13754.0,704215.0,10860.0
Newfoundland and Labrador,4383.0,482615.0,5235.0
Northwest Territories,1238.0,35820.0,410.0
Nova Scotia,21674.0,861945.0,22345.0
Nunavut,348.0,35365.0,75.0
Ontario,1182358.0,9437320.0,387850.0
Prince Edward Island,3750.0,133285.0,5430.0
Quebec,352161.0,6892110.0,205770.0
Saskatchewan,44548.0,949755.0,15830.0
Yukon,1616.0,33280.0,925.0
