GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
Alberta,140248.0,1585765.0,34215.0
British Columbia,187944.0,1663815.0,87440.0
Canada,1141730.0,13461515.0,499490.0
Manitoba,38154.0,505375.0,19475.0
New Brunswick,6742.0,346090.0,6000.0
Newfoundland and Labrador,2222.0,236005.0,2955.0
Northwest Territories,617.0,18175.0,200.0
Nova Scotia,10778.0,417905.0,12525.0
Nunavut,166.0,17970.0,45.0
Ontario,558876.0,4691825.0,210765.0
Prince Edward Island,1842.0,64765.0,3040.0
Quebec,171332.0,3424400.0,113500.0
Saskatchewan,22041.0,472745.0,8850.0
Yukon,768.0,16680.0,490.0
