GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
Alberta,150809.0,1556150.0,30610.0
British Columbia,214118.0,1655410.0,83560.0
Canada,1255467.0,13580610.0,425365.0
Manitoba,40098.0,509905.0,14820.0
New Brunswick,7011.0,358125.0,4855.0
Newfoundland and Labrador,2161.0,246610.0,2285.0
Northwest Territories,622.0,17645.0,210.0
Nova Scotia,10896.0,444035.0,9820.0
Nunavut,179.0,17395.0,35.0
Ontario,623481.0,4745495.0,177085.0
Prince Edward Island,1908.0,68520.0,2395.0
Quebec,180828.0,3467705.0,92275.0
Saskatchewan,22507.0,477005.0,6980.0
Yukon,847.0,16600.0,440.0
