GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
Abbotsford - Mission,14175.0,136190.0,5840.0
Alma,81.0,28955.0,105.0
Amos,74.0,17870.0,110.0
Baie-Comeau,94.0,25260.0,145.0
Barrie,9827.0,171405.0,3410.0
Bathurst,228.0,29505.0,290.0
Belleville - Quinte West,2461.0,99070.0,1115.0
Brandon,2909.0,42410.0,1160.0
Brantford,5578.0,120245.0,1435.0
Brockville,766.0,27930.0,95.0
Brooks,1816.0,8860.0,350.0
Calgary,136865.0,976430.0,27865.0
Campbell River,1125.0,35595.0,230.0
Campbellton,88.0,12290.0,75.0
Campbellton (New Brunswick part),84.0,10980.0,75.0
Campbellton (Quebec part),2.0,1305.0,0.0
Camrose,592.0,16145.0,180.0
Canmore,984.0,11705.0,550.0
Cape Breton,631.0,92120.0,2335.0
Centre Wellington,912.0,27085.0,110.0
Charlottetown,2741.0,64980.0,4020.0
Chatham-Kent,2489.0,92315.0,530.0
Chilliwack,4476.0,94570.0,795.0
Cobourg,675.0,17190.0,40.0
Collingwood,856.0,20950.0,115.0
Corner Brook,198.0,28160.0,160.0
Cornwall,1274.0,54655.0,570.0
Courtenay,2160.0,53470.0,550.0
Cowansville,130.0,13755.0,45.0
Cranbrook,650.0,23590.0,390.0
Dawson Creek,472.0,15415.0,445.0
Dolbeau-Mistassini,38.0,14515.0,85.0
Drummondville,1138.0,93735.0,1130.0
Duncan,1581.0,40330.0,275.0
Edmonton,109666.0,1008260.0,25580.0
Edmundston,218.0,19915.0,295.0
Elliot Lake,301.0,10030.0,15.0
Essa,726.0,20005.0,100.0
Estevan,448.0,11075.0,130.0
Fort St. John,959.0,24685.0,720.0
Fredericton,2988.0,95865.0,1790.0
Gander,99.0,12695.0,80.0
Granby,1308.0,83155.0,670.0
Grand Falls-Windsor,76.0,13250.0,100.0
Grande Prairie,2697.0,53815.0,1000.0
Greater Sudbury / Grand Sudbury,2842.0,154070.0,3560.0
Guelph,10584.0,123670.0,2715.0
Halifax,16009.0,392615.0,17040.0
Hamilton,55256.0,561180.0,14410.0
