GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
Abbotsford - Mission,14175.0,136190.0,5840.0
"Abbotsford, City (CY)",12268.0,102105.0,5505.0
"Aberdeen No. 373, Rural municipality (RM)",11.0,1450.0,0.0
"Aberdeen, Town (T)",11.0,630.0,0.0
"Addington, Parish (P)",2.0,675.0,0.0
"Adelaide-Metcalfe, Township (TP)",76.0,2585.0,0.0
"Airdrie, City (CY)",3811.0,60875.0,390.0
"Ajax, Town (T)",14419.0,72295.0,1205.0
"Alberni-Clayoquot D, Regional district electoral area (RDA)",47.0,1630.0,0.0
"Alberni-Clayoquot E, Regional district electoral area (RDA)",59.0,2700.0,0.0
"Alberni-Clayoquot F, Regional district electoral area (RDA)",34.0,1770.0,0.0
"Albertville, Village (VL)",0.0,135.0,0.0
"Allan, Town (T)",2.0,640.0,0.0
Alma,81.0,28955.0,105.0
"Alma, Ville (V)",81.0,28955.0,105.0
"Amherstburg, Town (T)",626.0,20935.0,0.0
Amos,74.0,17870.0,110.0
"Amos, Ville (V)",59.0,11815.0,105.0
"Anmore, Village (VL)",181.0,1710.0,25.0
"Appleton, Town (T)",0.0,645.0,0.0
"Arnprior, Town (T)",188.0,8705.0,15.0
"Ascot Corner, Municipalité (MÉ)",22.0,3265.0,0.0
"Asquith, Town (T)",9.0,560.0,0.0
"Atholville, Village (VL)",1.0,3265.0,0.0
"Aurora, Town (T)",6361.0,37775.0,1045.0
Baie-Comeau,94.0,25260.0,145.0
"Baie-Comeau, Ville (V)",81.0,19390.0,140.0
"Baie-D'Urfé, Ville (V)",266.0,2585.0,90.0
"Balgonie, Town (T)",11.0,1715.0,0.0
"Barons, Village (VL)",4.0,245.0,0.0
Barrie,9827.0,171405.0,3410.0
"Barrie, City (CY)",6967.0,117640.0,3105.0
Bathurst,228.0,29505.0,290.0
"Bathurst, City (C)",156.0,10840.0,270.0
"Bathurst, Parish (P)",17.0,4670.0,0.0
"Battle River No. 438, Rural municipality (RM)",11.0,990.0,0.0
"Battleford, Town (T)",70.0,3980.0,40.0
"Bauline, Town (T)",0.0,315.0,0.0
"Bay Bulls, Town (T)",4.0,1535.0,15.0
"Beaconsfield, Ville (V)",1318.0,13865.0,525.0
"Beauharnois, Ville (V)",151.0,12965.0,40.0
"Beaumont, City (CY)",847.0,17805.0,155.0
"Beaumont, Municipalité (MÉ)",14.0,2745.0,0.0
"Beckwith, Township (TP)",168.0,8375.0,0.0
"Beiseker, Village (VL)",9.0,715.0,0.0
"Belcarra, Village (VL)",32.0,505.0,0.0
"Belle Plaine, Village (VL)",0.0,55.0,0.0
Belleville - Quinte West,2461.0,99070.0,1115.0
"Belleville, City (CY)",1386.0,47790.0,1010.0
"Beloeil, Ville (V)",384.0,22320.0,100.0
"Beresford, Parish (P)",14.0,6025.0,10.0
"Beresford, Town (TV)",23.0,4170.0,0.0
"Berry, Municipalité (MÉ)",0.0,460.0,0.0
"Bienfait, Town (T)",7.0,620.0,0.0
"Blainville, Ville (V)",1965.0,51880.0,215.0
"Blucher No. 343, Rural municipality (RM)",38.0,1845.0,0.0
"Bois-des-Filion, Ville (V)",428.0,8560.0,35.0
"Boisbriand, Ville (V)",944.0,24805.0,155.0
"Boischatel, Municipalité (MÉ)",89.0,7675.0,65.0
"Bon Accord, Town (T)",17.0,1480.0,0.0
"Bonfield, Township (TP)",11.0,2090.0,0.0
"Boucherville, Ville (V)",1106.0,36850.0,190.0
"Bowen Island, Island municipality (IM)",266.0,3235.0,40.0
"Bowman, Municipalité (MÉ)",0.0,650.0,0.0
"Brackley, Rural municipality (RM)",5.0,560.0,0.0
"Bradford West Gwillimbury, Town (T)",3873.0,28075.0,435.0
"Bradwell, Village (VL)",1.0,115.0,0.0
"Brampton, City (CY)",97782.0,266465.0,40005.0
