GEO_NAME,Arab,Black,Chinese,Filipino,Japanese,Korean,Latin American,Multiple Indigenous ancestries (only),Multiple Indigenous and non-Indigenous ancestries,Multiple visible minorities,Single Indigenous ancestry (only),Single Indigenous and non-Indigenous ancestries,South Asian,Southeast Asian,"Visible minority, n.i.e.",West Asian
Abbotsford - Mission,770.0,2380.0,2895.0,3000.0,675.0,1565.0,1855.0,23.0,128.0,1325.0,1310.0,4057.5,49840.0,2630.0,315.0,740.0
"Abbotsford, City (CY)",645.0,2080.0,2375.0,2520.0,530.0,1435.0,1515.0,8.0,92.0,1090.0,792.5,2618.75,45505.0,2090.0,260.0,625.0
"Aberdeen No. 373, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
"Aberdeen, Town (T)",0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,18.75,0.0,0.0,0.0,0.0
"Addington, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.25,0.0,0.0,0.0,0.0
"Adelaide-Metcalfe, Township (TP)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,8.75,10.0,0.0,0.0,0.0
"Ahahswinis 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,22.5,0.0,0.0,0.0,0.0
"Airdrie, City (CY)",605.0,3530.0,660.0,2745.0,160.0,310.0,1595.0,24.0,27.0,625.0,548.75,1752.5,3825.0,435.0,185.0,375.0
"Aitchelitch 9, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0
"Ajax, Town (T)",2505.0,21210.0,3760.0,6670.0,245.0,235.0,1695.0,0.0,13.0,4045.0,143.75,630.0,33055.0,825.0,3570.0,3745.0
"Alberni-Clayoquot D, Regional district electoral area (RDA)",0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,16.25,42.5,0.0,0.0,0.0,0.0
"Alberni-Clayoquot E, Regional district electoral area (RDA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.75,105.0,20.0,0.0,0.0,0.0
"Alberni-Clayoquot F, Regional district electoral area (RDA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,101.25,0.0,0.0,0.0,0.0
"Albertville, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0
"Alexander 134, Indian reserve (IRI)",0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,441.25,51.25,0.0,0.0,0.0,0.0
"Alkali Lake 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.5,12.5,0.0,0.0,0.0,0.0
"Allan, Town (T)",0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,11.25,0.0,0.0,0.0,0.0
"Allison Bay 219, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,0.0
Alma,35.0,185.0,55.0,15.0,0.0,0.0,30.0,3.0,0.0,10.0,361.25,355.0,0.0,35.0,0.0,0.0
"Alma, Ville (V)",35.0,185.0,55.0,15.0,0.0,0.0,30.0,3.0,0.0,10.0,361.25,355.0,0.0,35.0,0.0,0.0
"Amherstburg, Town (T)",160.0,425.0,115.0,135.0,15.0,10.0,55.0,0.0,10.0,35.0,77.5,488.75,150.0,75.0,85.0,55.0
Amos,30.0,180.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,473.75,245.0,0.0,30.0,0.0,20.0
"Amos, Ville (V)",30.0,180.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,177.5,155.0,0.0,30.0,0.0,20.0
"Anmore, Village (VL)",0.0,0.0,285.0,35.0,65.0,40.0,35.0,0.0,0.0,50.0,0.0,42.5,70.0,0.0,0.0,55.0
"Appleton, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75,17.5,0.0,0.0,0.0,0.0
"Arnprior, Town (T)",15.0,45.0,10.0,25.0,30.0,15.0,25.0,0.0,14.0,0.0,80.0,311.25,120.0,60.0,0.0,45.0
"Ascot Corner, Municipalité (MÉ)",0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,113.75,0.0,0.0,0.0,0.0
"Asquith, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,11.25,0.0,0.0,0.0,0.0
"Atholville, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,63.75,0.0,0.0,0.0,0.0
"Aurora, Town (T)",675.0,1195.0,10865.0,955.0,150.0,800.0,860.0,0.0,10.0,910.0,33.75,271.25,2485.0,335.0,325.0,4345.0
Baie-Comeau,0.0,220.0,35.0,10.0,0.0,10.0,35.0,6.0,0.0,15.0,618.75,451.25,15.0,20.0,0.0,0.0
"Baie-Comeau, Ville (V)",0.0,205.0,30.0,10.0,0.0,10.0,35.0,6.0,0.0,0.0,408.75,275.0,15.0,20.0,0.0,0.0
"Baie-D'Urfé, Ville (V)",55.0,50.0,160.0,20.0,20.0,30.0,55.0,0.0,0.0,0.0,0.0,25.0,45.0,0.0,20.0,50.0
"Balgonie, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,56.25,0.0,0.0,0.0,0.0
"Barons, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0
Barrie,1080.0,7300.0,2910.0,2410.0,230.0,985.0,4120.0,8.0,42.0,1190.0,1087.5,3676.25,7880.0,1495.0,1225.0,1535.0
"Barrie, City (CY)",805.0,5670.0,2310.0,2030.0,165.0,780.0,2910.0,8.0,36.0,890.0,853.75,2705.0,6435.0,1005.0,770.0,1070.0
Bathurst,30.0,390.0,80.0,95.0,0.0,25.0,45.0,4.0,10.0,0.0,490.0,552.5,150.0,20.0,0.0,0.0
"Bathurst, City (C)",30.0,350.0,45.0,80.0,0.0,25.0,25.0,0.0,0.0,0.0,153.75,222.5,130.0,20.0,0.0,0.0
"Bathurst, Parish (P)",0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,86.25,92.5,0.0,0.0,0.0,0.0
"Battle River No. 438, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,37.5,0.0,0.0,0.0,0.0
"Battleford, Town (T)",0.0,65.0,35.0,30.0,0.0,0.0,0.0,16.0,24.0,10.0,313.75,147.5,0.0,0.0,0.0,0.0
"Bauline, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0
"Bay Bulls, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,18.75,0.0,0.0,0.0,0.0
"Beaconsfield, Ville (V)",340.0,325.0,1275.0,105.0,40.0,90.0,350.0,0.0,0.0,155.0,8.75,96.25,470.0,115.0,50.0,425.0
"Beauharnois, Ville (V)",30.0,255.0,30.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,137.5,218.75,25.0,50.0,0.0,15.0
"Beaumont, City (CY)",80.0,505.0,135.0,580.0,20.0,55.0,180.0,6.0,32.0,100.0,86.25,508.75,1625.0,100.0,105.0,10.0
"Beaumont, Municipalité (MÉ)",10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Becher Bay 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.25,20.0,0.0,0.0,0.0,0.0
"Beckwith, Township (TP)",20.0,45.0,55.0,40.0,0.0,20.0,25.0,0.0,8.0,15.0,26.25,248.75,60.0,10.0,20.0,0.0
"Beiseker, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0
"Belcarra, Village (VL)",0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Belle Plaine, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belleville - Quinte West,235.0,1445.0,710.0,695.0,105.0,285.0,610.0,24.0,44.0,185.0,970.0,2748.75,2550.0,250.0,265.0,95.0
"Belleville, City (CY)",125.0,705.0,420.0,485.0,45.0,175.0,435.0,18.0,21.0,120.0,502.5,1397.5,2090.0,195.0,150.0,50.0
"Beloeil, Ville (V)",115.0,460.0,70.0,0.0,0.0,0.0,205.0,0.0,0.0,15.0,111.25,388.75,60.0,115.0,15.0,0.0
"Beresford, Parish (P)",0.0,15.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,136.25,0.0,0.0,0.0,0.0
"Beresford, Town (TV)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.25,40.0,0.0,0.0,0.0,0.0
"Berry, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0
"Bienfait, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.5,0.0,0.0,0.0,0.0
"Blainville, Ville (V)",2145.0,1970.0,525.0,90.0,45.0,65.0,1020.0,0.0,0.0,125.0,270.0,577.5,335.0,555.0,85.0,280.0
"Blucher No. 343, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,43.75,0.0,0.0,0.0,0.0
"Bois-des-Filion, Ville (V)",315.0,895.0,15.0,25.0,0.0,0.0,230.0,0.0,0.0,40.0,32.5,92.5,0.0,20.0,20.0,10.0
